"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.829,6.5236,1.3729,2.7499,0.8254,0,1.708,0.49688,1.3074,1,0.292,0.292,0.2,0
1.829,6.5236,1.3728,2.7499,0.8254,0,1.7081,0.49689,1.3074,1,0.294,0.294,0.2,0
1.829,6.5236,1.3728,2.7498,0.8254,0,1.7081,0.49689,1.3074,1,0.296,0.296,0.2,0
1.829,6.5235,1.3728,2.7498,0.8254,0,1.7081,0.4969,1.3074,1,0.298,0.298,0.2,0
1.8291,6.5235,1.3728,2.7498,0.82539,0,1.7081,0.49691,1.3074,1,0.3,0.3,0.2,0
1.8291,6.5235,1.3728,2.7498,0.82539,0,1.7081,0.49692,1.3074,1,0.302,0.302,0.2,0
1.8291,6.5235,1.3727,2.7498,0.82539,0,1.7081,0.49693,1.3074,1,0.304,0.304,0.2,0
1.8291,6.5235,1.3727,2.7497,0.82539,0,1.7082,0.49693,1.3074,1,0.306,0.306,0.2,0
1.8291,6.5235,1.3727,2.7497,0.82539,0,1.7082,0.49694,1.3074,1,0.308,0.308,0.2,0
1.8291,6.5235,1.3727,2.7497,0.82538,0,1.7082,0.49695,1.3074,1,0.31,0.31,0.2,0
1.8291,6.5235,1.3727,2.7497,0.82538,0,1.7082,0.49696,1.3074,1,0.312,0.312,0.2,0
1.8291,6.5235,1.3726,2.7497,0.82537,0,1.7082,0.49696,1.3074,1,0.314,0.314,0.2,0
1.8291,6.5234,1.3726,2.7496,0.82535,0,1.7082,0.49696,1.3074,1,0.316,0.316,0.2,0
1.8291,6.5234,1.3726,2.7496,0.82533,0,1.7082,0.49696,1.3074,1,0.318,0.318,0.2,0
1.8291,6.5233,1.3726,2.7496,0.82531,0,1.7082,0.49695,1.3074,1,0.32,0.32,0.2,0
1.8291,6.5233,1.3726,2.7496,0.82529,0,1.7082,0.49695,1.3074,1,0.322,0.322,0.2,0
1.8291,6.5232,1.3726,2.7496,0.82527,0,1.7082,0.49695,1.3074,1,0.324,0.324,0.2,0
1.8291,6.5232,1.3726,2.7495,0.82525,0,1.7082,0.49695,1.3074,1,0.326,0.326,0.2,0
1.8291,6.5231,1.3726,2.7495,0.82523,0,1.7082,0.49694,1.3074,1,0.328,0.328,0.2,0
1.8291,6.5231,1.3726,2.7495,0.82521,0,1.7082,0.49694,1.3074,1,0.33,0.33,0.2,0
1.8291,6.523,1.3726,2.7495,0.82519,0,1.7082,0.49694,1.3074,1,0.332,0.332,0.2,0
1.8291,6.523,1.3725,2.7495,0.82517,0,1.7082,0.49693,1.3074,1,0.334,0.334,0.2,0
1.8291,6.5229,1.3725,2.7494,0.82515,0,1.7082,0.49693,1.3074,1,0.336,0.336,0.2,0
1.8291,6.5229,1.3725,2.7494,0.82513,0,1.7081,0.49693,1.3074,1,0.338,0.338,0.2,0
1.8291,6.5228,1.3725,2.7494,0.82511,0,1.7081,0.49693,1.3074,1,0.34,0.34,0.2,0
