"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8286,6.5216,1.3675,2.7427,0.8211,0,1.7121,0.49891,-2.3012e-15,-6.7391e-15,-2.176e-15,-1.3361e-15,0,1.3108,1,0.234,0.234,0.2,0
1.8283,6.5208,1.3675,2.7424,0.82106,0,1.7119,0.49879,-2.915e-15,-8.4329e-15,-2.1726e-15,-1.8572e-15,0,1.3108,1,0.236,0.236,0.2,0
1.828,6.52,1.3676,2.742,0.82102,0,1.7116,0.49868,-3.5289e-15,-1.0127e-14,-2.1693e-15,-2.3783e-15,0,1.3109,1,0.238,0.238,0.2,0
1.8277,6.5191,1.3676,2.7416,0.82097,0,1.7114,0.49856,-4.1428e-15,-1.1821e-14,-2.1659e-15,-2.8994e-15,0,1.3109,1,0.24,0.24,0.2,0
1.8276,6.5189,1.3676,2.7414,0.82129,0,1.7113,0.49851,-4.6173e-15,-1.3018e-14,-2.1026e-15,-3.0912e-15,0,1.3109,1,0.242,0.242,0.2,0
1.8277,6.5192,1.3677,2.7414,0.82204,0,1.7114,0.49854,-4.9255e-15,-1.3622e-14,-1.968e-15,-2.8903e-15,0,1.3109,1,0.244,0.244,0.2,0
1.8277,6.5192,1.3677,2.7413,0.82263,0,1.7113,0.49853,-5.2449e-15,-1.4305e-14,-1.836e-15,-2.8127e-15,0,1.3109,1,0.246,0.246,0.2,0
1.8272,6.5179,1.3678,2.7408,0.82256,0,1.7109,0.4983,-5.6137e-15,-1.5336e-14,-1.7159e-15,-3.2841e-15,0,1.3108,1,0.248,0.248,0.2,0
1.8268,6.5166,1.368,2.7403,0.82248,0,1.7104,0.49807,-5.9826e-15,-1.6368e-14,-1.5958e-15,-3.7556e-15,0,1.3108,1,0.25,0.25,0.2,0
1.8263,6.5151,1.368,2.7398,0.8223,0,1.71,0.49785,-6.6453e-15,-1.8275e-14,-1.6131e-15,-4.4472e-15,0,1.3108,1,0.252,0.252,0.2,0
1.8259,6.5135,1.368,2.7391,0.82199,0,1.7095,0.49763,-7.6472e-15,-2.119e-14,-1.7889e-15,-5.3927e-15,0,1.3108,1,0.254,0.254,0.2,0
1.8255,6.5118,1.368,2.7385,0.82169,0,1.7091,0.49741,-8.649e-15,-2.4106e-14,-1.9648e-15,-6.3382e-15,0,1.3108,1,0.256,0.256,0.2,0
1.8251,6.5101,1.368,2.7379,0.82139,0,1.7087,0.49719,-9.6508e-15,-2.7021e-14,-2.1406e-15,-7.2837e-15,0,1.3107,1,0.258,0.258,0.2,0
1.8246,6.5085,1.368,2.7372,0.82108,0,1.7082,0.49698,-1.0653e-14,-2.9937e-14,-2.3164e-15,-8.2292e-15,0,1.3107,1,0.26,0.26,0.2,0
1.8242,6.5068,1.368,2.7366,0.82078,0,1.7078,0.49676,-1.1654e-14,-3.2852e-14,-2.4923e-15,-9.1747e-15,0,1.3107,1,0.262,0.262,0.2,0
1.824,6.5062,1.368,2.7363,0.82074,0,1.7076,0.49667,-1.5832e-14,-4.5348e-14,-4.0575e-15,-1.2818e-14,0,1.3107,1,0.264,0.264,0.2,0
1.8239,6.5057,1.368,2.7361,0.82074,0,1.7075,0.49661,-2.0568e-14,-5.9528e-14,-5.8669e-15,-1.6935e-14,0,1.3107,1,0.266,0.266,0.2,0
